Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.Mvc 4.0.20710.0,,,,,"Microsoft.AspNet.Mvc, 4.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.Razor 2.0.20710.0,,,,,"Microsoft.AspNet.Razor, 2.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi, 4.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi.Client 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi.Client, 4.0.20710.0  Recommendation:  Microsoft.AspNet.WebApi.Client, 6.0.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi.Core 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi.Core, 4.0.20710.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebApi.WebHost 4.0.20710.0,,,,,"Microsoft.AspNet.WebApi.WebHost, 4.0.20710.0  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.AspNet.WebPages 2.0.20710.0,,,,,"Microsoft.AspNet.WebPages, 2.0.20710.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.Net.Http 2.0.20710.0,,,,,"Microsoft.Net.Http, 2.0.20710.0  Recommendation:  Remove Microsoft.Net.Http, and replace with new package System.Net.Http 4.3.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,File,src\PathfinderDb.WebExplorer\PathfinderDb.WebExplorer.csproj,,,Newtonsoft.Json 4.5.10,,,,,"Newtonsoft.Json, 4.5.10  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
